,ggd_regio,b,se,t,pvalue,ll,ul,model,uitkomstmaat,type_uitkomstmaat
226,GGD Fryslân,1221.132,5430114.0,22.49,0.0,1114.703,1327.561,6,zvwkziekenhuis,Kosten
227,GGD Drenthe,1222.857,6571289.0,18.61,0.0,1094.062,1351.652,6,zvwkziekenhuis,Kosten
228,GGD IJsselland,1320.64,5405254.0,24.43,0.0,1214.699,1426.582,6,zvwkziekenhuis,Kosten
229,GGD Regio Twente,1329.538,6522971.0,20.38,0.0,1201.69,1457.386,6,zvwkziekenhuis,Kosten
230,GGD Noord- en Oost-Gelderland,1184.0,3374737.0,35.08,0.0,1117.856,1250.144,6,zvwkziekenhuis,Kosten
231,Veiligheids- en Gezondheidsregio Gelderland-Midden,1195.326,5386967.0,22.19,0.0,1089.743,1300.909,6,zvwkziekenhuis,Kosten
232,GGD Gelderland-Zuid,1346.448,9800163.0,13.74,0.0,1154.367,1538.528,6,zvwkziekenhuis,Kosten
233,GGD Regio Utrecht,1281.439,3978212.0,32.21,0.0,1203.467,1359.411,6,zvwkziekenhuis,Kosten
234,GGD Hollands-Noorden,1133.657,3627738.0,31.25,0.0,1062.555,1204.76,6,zvwkziekenhuis,Kosten
235,GGD Zaanstreek/Waterland,1282.021,3895885.0,32.91,0.0,1205.663,1358.379,6,zvwkziekenhuis,Kosten
236,GGD Kennemerland,1334.235,5165546.0,25.83,0.0,1232.992,1435.478,6,zvwkziekenhuis,Kosten
237,GGD Amsterdam,1405.802,7488908.0,18.77,0.0,1259.022,1552.583,6,zvwkziekenhuis,Kosten
238,GGD Gooi en Vechtstreek,1281.588,6295964.0,20.36,0.0,1158.189,1404.987,6,zvwkziekenhuis,Kosten
239,GGD Haaglanden,1456.249,6207082.0,23.46,0.0,1334.592,1577.906,6,zvwkziekenhuis,Kosten
240,GGD Hollands-Midden,1181.568,3445078.0,34.3,0.0,1114.045,1249.09,6,zvwkziekenhuis,Kosten
241,GGD Rotterdam-Rijnmond,1366.225,4172709.0,32.74,0.0,1284.441,1448.009,6,zvwkziekenhuis,Kosten
242,Dienst Gezondheid & Jeugd ZHZ,1174.125,4052469.0,28.97,0.0,1094.698,1253.552,6,zvwkziekenhuis,Kosten
243,GGD Zeeland,1199.948,4899764.0,24.49,0.0,1103.914,1295.982,6,zvwkziekenhuis,Kosten
244,GGD West-Brabant,1185.232,363832.0,32.58,0.0,1113.922,1256.542,6,zvwkziekenhuis,Kosten
245,GGD Hart voor Brabant,1332.29,1095942.0,12.16,0.0,1117.489,1547.091,6,zvwkziekenhuis,Kosten
246,GGD Brabant-Zuidoost,1264.032,4060206.0,31.13,0.0,1184.453,1343.611,6,zvwkziekenhuis,Kosten
247,GGD Limburg-Noord,1328.7,7321909.0,18.15,0.0,1185.192,1472.207,6,zvwkziekenhuis,Kosten
248,GGD Zuid-Limburg,1256.559,3182899.0,39.48,0.0,1194.175,1318.942,6,zvwkziekenhuis,Kosten
249,GGD Flevoland,1216.96,8500657.0,14.32,0.0,1050.349,1383.57,6,zvwkziekenhuis,Kosten
